CID,CRPName
N00005414,"McCrery, Jim"
N00009829,"McDermott, Jim"
N00000179,"McGovern, James P"
N00026627,"McHenry, Patrick"
N00001276,"McHugh, John M"
N00006213,"McInnis, Scott"
N00002356,"McIntyre, Mike"
N00006882,"McKeon, Howard P ""Buck"""
N00031681,"McKinley, David B"
N00002511,"McKinney, Cynthia A"
N00033509,"McLeod, Gloria"
N00030267,"McMahon, Michael E"
N00026314,"McMorris Rodgers, Cathy"
N00026926,"McNerney, Jerry"
N00001214,"McNulty, Michael R"
N00033631,"Meadows, Mark R"
N00000205,"Meehan, Marty"
N00031134,"Meehan, Patrick L"
N00025692,"Meek, Kendrick B"
N00001171,"Meeks, Gregory W"
N00026840,"Melancon, Charles J"
N00000699,"Menendez, Robert"
N00034547,"Meng, Grace"
N00029303,"Merkley, Jeff"
N00012546,"Messer, Luke"
N00002793,"Mica, John L"
N00024770,"Michaud, Mike"
N00001945,"Mikulski, Barbara A"
N00006811,"Millender-McDonald, Juanita"
N00025093,"Miller, Brad"
N00009795,"Miller, Candice S"
N00006954,"Miller, Gary"
N00007390,"Miller, George"
N00013846,"Miller, Jeff"
N00013436,"Miller, Zell"
N99999906,"Mills, Karen"
N00001701,"Mineta, Norman Y"
N00006288,"Minnick, Walter Clifford"
N00028162,"Mitchell, Harry E"
N00002214,"Mollohan, Alan B"
N99999898,"Moniz, Ernest"
N00005233,"Moore, Dennis"
N00026914,"Moore, Gwen"
N00005282,"Moran, Jerry"
N00002083,"Moran, Jim"
N99999908,"Mueller, Robert S"
N99999950,"Mukasey, Michael B"
N00033410,"Mullin, Markwayne"
N00031412,"Mulvaney, John Michael ""Mick''"
N00026050,"Murkowski, Lisa"
N00027566,"Murphy, Chris"
N00033091,"Murphy, Patrick"
N00027594,"Murphy, Patrick J"
N00030682,"Murphy, Scott"
N00024992,"Murphy, Tim"
N00007876,"Murray, Patty"
N00001408,"Murtha, John P"
N00025054,"Musgrave, Marilyn"
N00002327,"Myrick, Sue"
N00000939,"Nadler, Jerrold"
N00006789,"Napolitano, Grace"
N99999944,"Napolitano, Janet A"
N00000153,"Neal, Richard E"
N00005329,"Nelson, Ben"
N00009926,"Nelson, Bill"
N00008166,"Nethercutt, George R Jr"
N00026043,"Neugebauer, Randy"
N00003532,"Ney, Bob"
N99999970,"Nicholson, Robert J"
N00005617,"Nickles, Don"
N00032022,"Noem, Kristi Lynn"
N00021207,"Nolan, Rick"
N00003392,"Northup, Anne M"
N00001692,"Norton, Eleanor Holmes"
N00006143,"Norton, Gale Ann"
N00002630,"Norwood, Charles W"
N00032441,"Nugent, Richard B"
N00007248,"Nunes, Devin Gerald"
N00031006,"Nunnelee, Alan"
N00004255,"Nussle, Jim"
N00029784,"Nye, Glenn"
N00009638,"Obama, Barack"
N00001806,"Oberstar, James L"
N00004394,"Obey, David R"
N00029285,"Olson, Peter Graham"
N00000143,"Olver, John W"
N00033540,"O'Rourke, Beto"
N99999947,"Orszag, Peter R"
N00005998,"Ortiz, Solomon P"
N00012970,"Osborne, Tom"
N00007581,"Ose, Doug"
N00009637,"Otter, C L 'Butch'"
N00031011,"Owens, Bill"
N00001074,"Owens, Major R"
N00003736,"Oxley, Michael G"
N00031958,"Palazzo, Steven"
N00000781,"Pallone, Frank Jr"
N99999912,"Panetta, Leon E"
N00000751,"Pascrell, Bill Jr"
N00006397,"Pastor, Ed"
N00030836,"Paul, Rand"
N00005906,"Paul, Ron"
N99999965,"Paulison, R David"
N00029391,"Paulsen, Erik"
N99999962,"Paulson, Henry M."
N00000716,"Payne, Donald M"
N00034639,"PAYNE, DONALD M."
N99999953,"Peake, James B"
N00012672,"Pearce, Steve"
N00007360,"Pelosi, Nancy"
N00003765,"Pence, Mike"
